epoch,on_full,on_unseen,on_seen,off_full,off_unseen,off_seen,gap_full,gap_unseen,gap_seen,text_adapter_off_full,text_adapter_contribution_full,text_adapter_off_unseen,text_adapter_contribution_unseen,text_adapter_off_seen,text_adapter_contribution_seen,object_conditioned_adapter_off_full,object_conditioned_adapter_contribution_full,object_conditioned_adapter_off_unseen,object_conditioned_adapter_contribution_unseen,object_conditioned_adapter_off_seen,object_conditioned_adapter_contribution_seen,raw_mean,raw_std,raw_min,raw_max,raw_p50,raw_p90,u_mean,u_std,u_min,u_max,u_p50,u_p90,u_rel_mean,u_rel_std,u_rel_min,u_rel_max,u_rel_p50,u_rel_p90,ratio_mean,ratio_std,ratio_min,ratio_max,ratio_p50,ratio_p90
1,33.584955057993994,36.89565296278422,32.922815477035954,33.52640792694094,36.820812402863424,32.86752703175645,0.05854713105305365,0.07484055992079419,0.055288445279501275,0.0,0.0,0.0,0.0,0.0,0.0,33.22288068232167,0.3620743756723215,36.304921334212466,0.5907316285717528,32.60647255194352,0.3163429250924352,0.08025062084197998,0.42498281598091125,-2.238152265548706,3.1722590923309326,0.11301486939191818,0.5326870083808899,0.0153418043628335,0.6189939975738525,-0.9999980926513672,0.9999988675117493,0.06276755779981613,0.8131114840507507,-2.3892682277093513e-10,0.6147396564483643,-1.1711622476577759,1.1562778949737549,0.0457601472735405,0.7932476997375488,0.021516872569918633,0.01190260425209999,9.64105097978063e-08,0.04684648662805557,0.021702894940972328,0.03776742145419121
2,33.58246372781402,36.91660620758421,32.91563523185999,33.52540213026266,36.804472597057504,32.86958803690369,0.05706159755136042,0.11213361052670479,0.04604719495629439,0.0,0.0,0.0,0.0,0.0,0.0,33.199715057517864,0.38274867029615933,36.389469705893,0.52713650169121,32.56176412784284,0.35387110401714494,0.3317473828792572,0.5962204337120056,-2.646286964416504,5.480337142944336,0.364698588848114,0.9165976643562317,0.03320271521806717,0.6011233329772949,-0.9999900460243225,1.0,0.1198897510766983,0.7789918184280396,-8.177640786755092e-10,0.5954532623291016,-1.1715402603149414,1.1708555221557617,0.07514850050210953,0.7386460900306702,0.02048272266983986,0.012155719101428986,1.8179417082819782e-08,0.04686160758137703,0.019753528758883476,0.03832578286528587
3,33.554549646063855,36.89128079745433,32.88720341578574,33.53215842558337,36.837467797867276,32.87109655112659,0.02239122048048614,0.05381299958705199,0.016106864659150233,0.0,0.0,0.0,0.0,0.0,0.0,33.19932280214323,0.35522684392062587,36.37073089934127,0.5205498981130603,32.56504118270362,0.32216223308212477,0.2948260009288788,0.6371830105781555,-2.8279871940612793,6.448258876800537,0.27093806862831116,0.9098793864250183,0.010760176926851273,0.5879799127578735,-0.9999979138374329,1.0,0.041698846966028214,0.782217800617218,1.0486367330031499e-10,0.5812032222747803,-1.1690289974212646,1.174914002418518,0.03144872561097145,0.7598313689231873,0.01977718621492386,0.0122204115614295,7.450580152834618e-09,0.04699656739830971,0.018575984984636307,0.03796720504760742
4,33.551407038330076,36.922781780035024,32.8771320899891,33.53193729899571,36.806031842480635,32.87711839029871,0.019469739334368796,0.11674993755438834,1.3699690384783025e-05,0.0,0.0,0.0,0.0,0.0,0.0,33.1796122433438,0.371794794986279,36.272121804152846,0.6506599758821778,32.561110331181986,0.3160217588071106,0.188971146941185,0.6778397560119629,-4.153003692626953,7.227057456970215,0.14710845053195953,0.7880386710166931,0.003430010983720422,0.5673773288726807,-1.0,1.0,0.023249061778187752,0.755460798740387,7.548225933184938e-11,0.558144211769104,-1.1813565492630005,1.1804990768432617,0.021962091326713562,0.7425451874732971,0.018570447340607643,0.012392676435410976,1.2159347306806012e-07,0.04725426062941551,0.016336768865585327,0.03810657188296318
