epoch,on_full,on_unseen,on_seen,off_full,off_unseen,off_seen,gap_full,gap_unseen,gap_seen,text_adapter_off_full,text_adapter_contribution_full,text_adapter_off_unseen,text_adapter_contribution_unseen,text_adapter_off_seen,text_adapter_contribution_seen,object_conditioned_adapter_off_full,object_conditioned_adapter_contribution_full,object_conditioned_adapter_off_unseen,object_conditioned_adapter_contribution_unseen,object_conditioned_adapter_off_seen,object_conditioned_adapter_contribution_seen,raw_mean,raw_std,raw_min,raw_max,raw_p50,raw_p90,u_mean,u_std,u_min,u_max,u_p50,u_p90,u_rel_mean,u_rel_std,u_rel_min,u_rel_max,u_rel_p50,u_rel_p90,ratio_mean,ratio_std,ratio_min,ratio_max,ratio_p50,ratio_p90
1,34.212773312893695,37.713133615332346,33.512701252405975,34.20543839594403,37.63547711049136,33.51943065303456,0.007334916949666592,0.07765650484098785,-0.006729400628586291,0.0,0.0,0.0,0.0,0.0,0.0,33.65951916568366,0.5532541472100334,37.127918469625904,0.5852151457064423,32.96583930489521,0.546861947510763,1.167309045791626,0.6823812127113342,-1.0827218294143677,3.4778029918670654,1.1362173557281494,2.096163511276245,-0.005023362580686808,0.6540893912315369,-0.9991332292556763,0.9998579025268555,0.005196763668209314,0.86991286277771,-2.4323343339460735e-10,0.6523593068122864,-1.1620464324951172,1.1660674810409546,0.005181562155485153,0.8725810050964355,0.023429378867149353,0.011488279327750206,1.7642976501974772e-07,0.046642694622278214,0.02528434246778488,0.03742958605289459
2,34.19943345834089,37.57288354993568,33.524743440021936,34.189649604927716,37.63273147083572,33.50103323174612,0.009783853413175336,-0.05984792090004021,0.023710208275815603,0.0,0.0,0.0,0.0,0.0,0.0,33.67093308303113,0.5285003753097612,36.98098862464053,0.5918949252951506,33.008921974709246,0.5158214653126905,-0.033927902579307556,1.2789965867996216,-4.104783535003662,4.761019706726074,-0.0925113633275032,1.6975581645965576,-0.024055948480963707,0.643866777420044,-0.9994526505470276,0.9996907711029053,-0.08299699425697327,0.8850762844085693,7.215240072078188e-10,0.6424314379692078,-1.1338907480239868,1.1693291664123535,-0.05868709087371826,0.9054713249206543,0.022851841524243355,0.01175339613109827,9.909271625474503e-08,0.046773169189691544,0.024322709068655968,0.037672631442546844
3,34.2284703958888,37.70118759848587,33.533926955369395,34.206946821390204,37.63570682784214,33.521194820099815,0.021523574498594655,0.06548077064373103,0.01273213526958017,0.0,0.0,0.0,0.0,0.0,0.0,33.7161584902605,0.5123119056283016,37.15399630351992,0.5471912949659554,33.02859092760861,0.5053360277607837,1.6466821432113647,1.38149893283844,-3.2700603008270264,7.701127052307129,1.571967601776123,3.5138895511627197,-0.02334664948284626,0.6425208449363708,-0.9997375011444092,0.999681293964386,-0.08606667071580887,0.8816239833831787,-3.774228846120664e-11,0.6411343216896057,-1.1544640064239502,1.1576722860336304,-0.05986666679382324,0.9011241793632507,0.0228275153785944,0.011687152087688446,1.1324881477037252e-08,0.04630689322948456,0.02422182261943817,0.03756482154130936
4,34.20463994376327,37.61411022805201,33.52274588690553,34.20385178098619,37.64198139812992,33.516225857557444,0.0007881627770771615,-0.027871170077908403,0.006520029348088485,0.0,0.0,0.0,0.0,0.0,0.0,33.723704981387336,0.48093496237593314,37.13572310710798,0.4783871209440349,33.04130135624322,0.48144453066231563,0.3370899260044098,1.5676186084747314,-4.150872230529785,7.001588821411133,0.21522700786590576,2.5216236114501953,-0.018143290653824806,0.6426513195037842,-0.9998747110366821,0.9999486804008484,-0.06486130505800247,0.8710536956787109,2.809988353114079e-10,0.6407476663589478,-1.1562392711639404,1.1629118919372559,-0.044882986694574356,0.885524570941925,0.022842878475785255,0.01162304263561964,1.993775384789842e-07,0.04651647433638573,0.02420688234269619,0.03755351901054382
5,34.216942171277616,37.62042917405802,33.53624477072154,34.207011268707646,37.63849059544858,33.52071540335946,0.009930902569969646,-0.01806142139056277,0.01552936736207755,0.0,0.0,0.0,0.0,0.0,0.0,33.722419253752896,0.4945229175247192,37.149144730213806,0.47128444384421186,33.03707415846071,0.4991706122608264,1.0029410123825073,1.5016639232635498,-3.8437180519104004,7.147725582122803,0.8613702654838562,3.102229595184326,-0.006575040984898806,0.6415013670921326,-0.9997962117195129,0.9999655485153198,-0.0198114775121212,0.8603414297103882,-4.005624998359991e-10,0.6395264863967896,-1.1618754863739014,1.157609224319458,-0.01302393339574337,0.8635951280593872,0.022780971601605415,0.011636925861239433,1.1235475483317714e-07,0.04647502303123474,0.02414602041244507,0.03749864920973778
