epoch,checkpoint,full_gate_on,full_gate_off,full_contribution,unseen_gate_on,unseen_gate_off,unseen_contribution,seen_gate_on,seen_gate_off,seen_contribution
4,ckpt_15580_04.pt,32.38452514960142,32.358400049547974,0.02612510005344859,36.05697136439599,36.086665498177126,-0.029694133781134724,31.65003590664251,31.61274695982214,0.03728894682037165
5,ckpt_19475_05.pt,32.59885008105101,32.57041663616315,0.028433444887859594,35.55723331648342,35.47159221466199,0.08564110182143025,32.00717343396452,31.990181520463395,0.016991913501122724
6,ckpt_23370_06.pt,33.33687622263289,33.30259727178122,0.03427895085167165,36.673878629743285,36.62455336601652,0.04932526372676449,32.66947574121081,32.63820605293415,0.03126968827665877
7,ckpt_27265_07.pt,33.52719271939401,33.51317947648804,0.014013242905967616,36.76343190943841,36.77422938753395,-0.010797478095540214,32.87994488138513,32.860969494278855,0.018975387106273445
8,ckpt_31160_08.pt,33.40077699522321,33.41132642661284,-0.010549431389627273,35.65605288244748,35.63498212264316,0.02107075980432427,32.949721817778354,32.966595287406776,-0.016873469628421844
9,ckpt_35055_09.pt,34.066339734727805,34.070181500965624,-0.0038417662378193995,37.24352417732126,37.26439160827872,-0.02086743095745902,33.430902846209115,33.431339479503,-0.00043663329388721195
10,ckpt_38950_10.pt,33.755613653708586,33.75330205331495,0.0023116003936394236,36.4706360769035,36.41509559346501,0.055540483438491606,33.21260916906961,33.22094334528493,-0.008334176215321065
11,ckpt_42845_11.pt,34.15400127540295,34.1852303769311,-0.0312291015281545,36.91287715340784,37.19909467311696,-0.286217519709119,33.60222609980198,33.58245751769394,0.019768582108042665
12,ckpt_46740_12.pt,34.36594477370417,34.34860804577354,0.017336727930633344,37.13457930605259,37.13815246060452,-0.003573154551929747,33.81221786723449,33.790699162807336,0.021518704427151647
13,ckpt_50635_13.pt,34.3423516684558,34.33912352797236,0.003228140483436448,36.864056720767664,36.900216936827974,-0.036160216060309835,33.83801065799341,33.82690484620123,0.011105811792177178
14,ckpt_54530_14.pt,34.36627465775564,34.32391174295638,0.04236291479925569,36.901296363310095,36.931554602336206,-0.0302582390261108,33.859270316644746,33.80238317108042,0.056887145564324726
15,ckpt_58425_15.pt,34.40512401466938,34.39109442460015,0.014029590069235098,36.95770093957411,36.95727633011419,0.0004246094599196226,33.894608629688435,33.87785804349734,0.01675058619109393
16,ckpt_62320_16.pt,34.41715444039341,34.416250663647915,0.000903776745495577,37.18904019487377,37.19957833817438,-0.010538143300614422,33.862777289497345,33.85958512874262,0.00319216075472184
17,ckpt_66215_17.pt,34.45462695686631,34.507005968496784,-0.052379011630470984,37.12766245990299,37.195095045401345,-0.06743258549835218,33.920019856258975,33.96938815311587,-0.04936829685689759
18,ckpt_70110_18.pt,34.42535526114515,34.423368693662006,0.001986567483143631,37.27490563003323,37.15101976513411,0.12388586489912257,33.855445187367536,33.87783847936758,-0.022393292000046472
19,ckpt_74005_19.pt,34.38758630700702,34.38048919159918,0.007097115407837862,37.30096262904375,37.14823823398383,0.15272439505991997,33.80491104259967,33.82693938312225,-0.022028340522581402
20,ckpt_77900_20.pt,34.39304667839229,34.40159504079606,-0.008548362403772103,37.1417245643729,37.09387579999499,0.04784876437791041,33.843311101196164,33.86313888895627,-0.019827787760107185
